temperature,humidity,winp,weather,shebei2_huilu1,shebei3_huilu1,shebei4_huilu1,shebei1_huilu2,shebei3_huilu1,shebei4_huilu1,shebei5_huilu1,shebei5_huilu2
15℃,100%,2级,雨,12,50,23,55,50,23,258,409
15℃,100%,2级,雾,12,52,23,59,52,23,259,414
15℃,100%,1级,阴,0,0,0,0,0,0,0,0
15℃,100%,1级,雨,0,0,0,0,0,0,0,0
15℃,100%,2级,雨,0,0,0,0,0,0,0,0
15℃,100%,2级,雨,0,0,0,0,0,0,0,0
15℃,100%,2级,雨,0,0,0,0,0,0,0,0
15℃,100%,1级,雾,0,0,0,0,0,0,0,0
16℃,100%,0级,雨,0,0,0,0,0,0,0,0
16℃,100%,0级,阴,0,0,0,0,0,0,0,0
16℃,100%,0级,阴,0,0,0,0,0,0,0,0
16℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,雾,0,0,0,0,0,0,0,0
17℃,100%,1级,雾,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,12,46,24,68,46,24,289,469
17℃,100%,2级,雾,11,46,24,58,46,24,304,442
17℃,100%,2级,雨,11,46,24,58,46,24,304,442
17℃,100%,0级,雨,13,44,24,58,44,24,318,433
17℃,100%,1级,雨,13,44,24,59,44,24,334,425
17℃,100%,2级,雾,13,44,24,59,44,24,334,425
18℃,100%,2级,雾,12,45,25,57,45,25,346,423
18℃,100%,2级,雾,13,44,25,59,44,25,346,421
18℃,100%,2级,雾,13,44,23,59,44,23,346,421
18℃,100%,0级,雾,12,45,23,58,45,23,354,434
18℃,100%,0级,多云,12,45,23,55,45,23,354,434
18℃,100%,0级,多云,12,45,24,55,45,24,360,450
18℃,100%,1级,雨,13,45,23,56,45,23,224,417
19℃,100%,2级,雨,13,45,23,56,45,23,224,417
19℃,100%,2级,多云,13,45,24,55,45,24,230,463
19℃,100%,1级,多云,13,45,24,55,45,24,245,413
19℃,100%,2级,雾,13,45,24,55,45,24,245,413
19℃,100%,2级,雾,12,45,24,56,45,24,235,405
19℃,100%,2级,多云,12,46,23,56,46,23,238,402
19℃,100%,2级,雾,12,46,23,56,46,23,238,402
19℃,100%,2级,阴,12,46,23,55,46,23,231,462
19℃,100%,2级,阴,12,46,23,55,46,23,231,462
19℃,100%,1级,雾,13,45,23,55,45,23,229,394
19℃,100%,1级,雾,0,0,0,0,0,0,0,0
19℃,100%,2级,雾,0,0,0,0,0,0,0,0
20℃,100%,2级,阴,0,0,0,0,0,0,0,0
20℃,100%,2级,阴,0,0,0,0,0,0,0,0
20℃,100%,2级,阴,0,0,0,0,0,0,0,0
21℃,100%,0级,阴,0,0,0,0,0,0,0,0
21℃,100%,0级,阴,0,0,0,0,0,0,0,0
22℃,100%,1级,阴,0,0,0,0,0,0,0,0
23℃,100%,2级,阴,0,0,0,0,0,0,0,0
23℃,99%,2级,阴,0,0,0,0,0,0,0,0
23℃,95%,0级,阴,0,0,0,0,0,0,0,0
24℃,95%,0级,阴,0,0,0,0,0,0,0,0
24℃,93%,0级,阴,0,0,0,0,0,0,0,0
24℃,95%,2级,阴,0,0,0,0,0,0,0,0
24℃,98%,0级,阴,0,0,0,0,0,0,0,0
23℃,99%,2级,雨,0,0,0,0,0,0,0,0
24℃,98%,0级,雨,0,0,0,0,0,0,0,0
24℃,97%,0级,阴,0,0,0,0,0,0,0,0
23℃,98%,2级,雨,0,0,0,0,0,0,0,0
20℃,100%,4级,雨,0,0,0,0,0,0,0,0
19℃,100%,3级,雨,0,0,0,0,0,0,0,0
19℃,100%,3级,雨,0,0,0,0,0,0,0,0
18℃,100%,3级,雨,11,61,26,0,61,26,0,0
18℃,100%,3级,雨,11,61,26,0,61,26,832,2010
18℃,100%,4级,雨,13,49,24,0,49,24,715,1715
16℃,100%,4级,雨,13,49,24,0,49,24,715,1715
16℃,100%,1级,雨,11,46,25,0,46,25,791,1580
16℃,100%,2级,雨,13,47,25,0,47,25,764,1435
16℃,100%,3级,雨,11,47,25,0,47,25,764,1435
16℃,100%,2级,雨,11,47,24,0,47,24,523,1175
16℃,100%,1级,雨,11,46,26,0,46,26,498,884
16℃,100%,2级,阴,11,45,27,112,45,27,498,884
16℃,100%,2级,阴,11,45,27,112,45,27,501,795
16℃,100%,2级,阴,12,45,25,89,45,25,594,845
16℃,100%,2级,阴,11,45,25,89,45,25,515,714
16℃,100%,3级,阴,12,46,26,89,46,26,441,700
16℃,100%,2级,阴,11,46,26,88,46,26,417,678
16℃,100%,1级,阴,11,46,26,88,46,26,417,678
16℃,100%,2级,阴,12,46,25,87,46,25,419,674
16℃,100%,1级,阴,11,0,25,86,0,25,500,668
16℃,100%,0级,雨,11,0,25,86,0,25,500,668
16℃,100%,1级,雨,12,45,24,88,45,24,558,660
16℃,100%,0级,雨,12,46,25,86,46,25,473,638
16℃,100%,1级,雨,12,46,25,86,46,25,473,638
16℃,100%,2级,阴,11,46,25,86,46,25,391,641
16℃,100%,0级,阴,11,46,25,86,46,25,391,641
16℃,100%,0级,雨,11,45,24,85,45,24,375,639
16℃,100%,1级,雨,0,0,0,0,0,0,0,0
16℃,100%,2级,阴,0,0,0,0,0,0,0,0
16℃,100%,2级,雨,0,0,0,0,0,0,0,0
16℃,100%,2级,阴,0,0,0,0,0,0,0,0
16℃,100%,1级,雨,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,阴,0,0,0,0,0,0,0,0
17℃,100%,1级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,阴,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
18℃,100%,2级,雨,0,0,0,0,0,0,0,0
18℃,99%,2级,雨,0,0,0,0,0,0,0,0
18℃,98%,2级,雨,0,0,0,0,0,0,0,0
18℃,100%,1级,雨,0,0,0,0,0,0,0,0
18℃,99%,1级,雨,0,0,0,0,0,0,0,0
18℃,100%,2级,阴,0,0,0,0,0,0,0,0
17℃,100%,1级,阴,0,0,0,0,0,0,0,0
17℃,100%,0级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,0,0,0,0,0,0,0,0
17℃,100%,2级,雨,13,46,25,89,46,25,0,0
16℃,100%,3级,阴,14,44,25,82,44,25,312,773
16℃,100%,2级,阴,14,44,25,82,44,25,319,741
16℃,100%,2级,阴,13,44,24,82,44,24,332,687
16℃,100%,1级,雨,13,43,24,82,43,24,327,664
16℃,100%,2级,阴,13,43,24,82,43,24,327,664
16℃,100%,2级,阴,12,43,24,82,43,24,366,641
16℃,100%,2级,阴,12,43,24,85,43,24,385,629
16℃,100%,1级,雨,12,43,24,85,43,24,385,629
16℃,100%,0级,雨,49,44,23,81,44,23,373,615
16℃,100%,0级,雨,49,44,23,81,44,23,373,615
16℃,100%,0级,雨,50,43,23,79,43,23,376,612
16℃,100%,0级,雨,50,45,23,81,45,23,355,607
16℃,100%,0级,阴,50,45,23,81,45,23,355,607
16℃,100%,0级,阴,51,45,23,85,45,23,366,582
16℃,100%,0级,阴,52,45,23,79,45,23,370,576
16℃,100%,0级,阴,52,45,23,79,45,23,370,576
16℃,100%,0级,阴,53,43,23,79,43,23,346,563
16℃,100%,1级,阴,53,45,24,78,45,24,433,555
16℃,100%,0级,多云,53,45,24,78,45,24,433,555
16℃,100%,0级,多云,53,44,23,79,44,23,331,548
16℃,100%,1级,阴,53,44,23,79,44,23,331,548
16℃,99%,0级,阴,52,44,23,0,44,23,341,542
16℃,99%,0级,阴,0,0,0,0,0,0,0,0
16℃,97%,0级,阴,0,0,0,0,0,0,0,0
17℃,96%,1级,阴,0,0,0,0,0,0,0,0
18℃,94%,1级,阴,0,0,0,0,0,0,0,0
18℃,89%,1级,阴,0,0,0,0,0,0,0,0
18℃,87%,0级,阴,0,0,0,0,0,0,0,0
19℃,80%,0级,阴,0,0,0,0,0,0,0,0
20℃,82%,1级,阴,0,0,0,0,0,0,0,0
21℃,71%,0级,阴,0,0,0,0,0,0,0,0
22℃,70%,1级,阴,0,0,0,0,0,0,0,0
22℃,75%,1级,阴,0,0,0,0,0,0,0,0
22℃,65%,1级,阴,0,0,0,0,0,0,0,0
24℃,64%,1级,阴,0,0,0,0,0,0,0,0
24℃,60%,1级,阴,0,0,0,0,0,0,0,0
25℃,60%,0级,阴,0,0,0,0,0,0,0,0
25℃,59%,1级,阴,0,0,0,0,0,0,0,0
26℃,56%,0级,阴,0,0,0,0,0,0,0,0
26℃,56%,1级,阴,0,0,0,0,0,0,0,0
26℃,60%,1级,阴,0,0,0,0,0,0,0,0
26℃,59%,1级,阴,0,0,0,0,0,0,0,0
25℃,60%,1级,阴,0,0,0,0,0,0,0,0
25℃,64%,1级,阴,0,0,0,0,0,0,0,0
25℃,63%,0级,阴,0,0,0,0,0,0,0,0
23℃,70%,0级,阴,0,0,0,0,0,0,0,0
22℃,73%,1级,阴,36,44,22,84,44,22,669,935
22℃,75%,0级,阴,36,41,23,78,41,23,436,709
22℃,76%,1级,多云,36,41,23,78,41,23,436,709
22℃,76%,0级,多云,34,41,23,78,41,23,323,598
22℃,85%,0级,多云,34,40,23,76,40,23,335,569
21℃,87%,0级,多云,34,40,23,76,40,23,335,569
21℃,90%,0级,多云,33,40,24,79,40,24,368,533
20℃,93%,0级,多云,31,40,24,76,40,24,346,546
20℃,94%,1级,多云,31,40,24,76,40,24,346,546
20℃,97%,1级,多云,30,42,24,77,42,24,354,534
20℃,95%,0级,多云,30,42,24,77,42,24,354,534
21℃,93%,1级,多云,32,42,23,76,42,23,354,514
20℃,96%,0级,多云,32,41,23,79,41,23,261,523
20℃,100%,1级,多云,32,41,23,79,41,23,261,523
19℃,100%,0级,多云,31,41,23,76,41,23,248,490
20℃,98%,0级,多云,30,42,23,75,42,23,298,466
20℃,97%,0级,多云,30,42,23,75,42,23,298,466
20℃,99%,1级,多云,30,42,24,76,42,24,275,474
20℃,100%,0级,多云,31,42,24,78,42,24,309,438
20℃,100%,0级,多云,31,42,23,78,42,23,309,438
19℃,100%,0级,多云,30,42,24,76,42,24,272,458
19℃,100%,0级,多云,30,42,24,76,42,24,272,458
19℃,100%,0级,多云,0,0,0,0,0,0,0,0
19℃,100%,1级,多云,0,0,0,0,0,0,0,0
19℃,100%,0级,多云,0,0,0,0,0,0,0,0
20℃,100%,0级,多云,0,0,0,0,0,0,0,0
21℃,97%,1级,多云,0,0,0,0,0,0,0,0
23℃,89%,0级,多云,0,0,0,0,0,0,0,0
25℃,76%,0级,多云,0,0,0,0,0,0,0,0
25℃,72%,2级,多云,0,0,0,0,0,0,0,0
26℃,70%,2级,多云,0,0,0,0,0,0,0,0
26℃,71%,3级,阴,0,0,0,0,0,0,0,0
26℃,70%,2级,阴,0,0,0,0,0,0,0,0
26℃,74%,2级,多云,0,0,0,0,0,0,0,0
27℃,72%,2级,多云,0,0,0,0,0,0,0,0
27℃,77%,2级,多云,0,0,0,0,0,0,0,0
27℃,77%,2级,多云,0,0,0,0,0,0,0,0
28℃,71%,2级,多云,0,0,0,0,0,0,0,0
27℃,77%,1级,多云,0,0,0,0,0,0,0,0
26℃,79%,2级,多云,0,0,0,0,0,0,0,0
26℃,83%,2级,多云,0,0,0,0,0,0,0,0
27℃,75%,2级,多云,0,0,0,0,0,0,0,0
27℃,77%,1级,多云,0,0,0,0,0,0,0,0
27℃,79%,0级,多云,0,0,0,0,0,0,0,0
27℃,78%,1级,多云,0,0,0,0,0,0,0,0
27℃,83%,2级,多云,0,0,0,0,0,0,0,0
25℃,89%,2级,多云,0,0,0,0,0,0,0,0
25℃,92%,2级,多云,25,42,24,81,42,24,517,836
24℃,94%,2级,多云,22,42,24,76,42,24,284,566
24℃,95%,2级,多云,22,42,23,76,42,23,284,566
24℃,96%,2级,多云,21,42,23,78,42,23,338,503
23℃,98%,2级,多云,21,41,24,75,41,24,332,485
23℃,99%,3级,多云,21,41,24,75,41,24,332,485
23℃,100%,3级,多云,20,41,24,75,41,24,337,469
23℃,100%,2级,多云,21,40,24,75,40,24,343,462
23℃,100%,0级,多云,21,40,24,75,40,24,343,462
22℃,100%,2级,多云,20,41,23,73,41,23,335,467
22℃,100%,1级,多云,20,41,23,73,41,23,335,467
22℃,100%,0级,多云,21,43,24,73,43,24,427,459
22℃,100%,0级,多云,20,42,23,77,42,23,242,446
22℃,100%,0级,多云,20,42,23,77,42,23,242,446
22℃,100%,0级,多云,19,41,24,75,41,24,251,436
22℃,100%,0级,多云,19,41,24,75,41,24,251,436
23℃,100%,0级,雾,18,43,24,74,43,24,261,425
21℃,97%,3级,晴,18,42,23,75,42,23,435,436
22℃,100%,0级,多云,19,43,24,75,43,24,254,414
22℃,100%,2级,多云,19,42,24,75,42,24,255,422
22℃,100%,2级,阴,19,42,24,75,42,24,255,422
21℃,100%,2级,雾,18,42,23,76,42,23,0,0
21℃,100%,2级,阴,0,0,0,0,0,0,0,0
22℃,100%,1级,阴,0,0,0,0,0,0,0,0
22℃,100%,2级,阴,0,0,0,0,0,0,0,0
22℃,100%,2级,阴,0,0,0,0,0,0,0,0
23℃,99%,2级,阴,0,0,0,0,0,0,0,0
24℃,92%,1级,阴,0,0,0,0,0,0,0,0
25℃,89%,2级,阴,0,0,0,0,0,0,0,0
26℃,88%,2级,阴,0,0,0,0,0,0,0,0
27℃,82%,1级,多云,0,0,0,0,0,0,0,0
29℃,78%,2级,多云,0,0,0,0,0,0,0,0
30℃,71%,2级,多云,0,0,0,0,0,0,0,0
29℃,75%,1级,多云,0,0,0,0,0,0,0,0
30℃,68%,2级,多云,0,0,0,0,0,0,0,0
30℃,64%,2级,多云,0,0,0,0,0,0,0,0
29℃,67%,1级,多云,0,0,0,0,0,0,0,0
29℃,67%,1级,多云,0,0,0,0,0,0,0,0
30℃,67%,2级,多云,0,0,0,0,0,0,0,0
30℃,64%,2级,多云,0,0,0,0,0,0,0,0
30℃,67%,2级,多云,0,0,0,0,0,0,0,0
29℃,71%,2级,多云,0,0,0,0,0,0,0,0
30℃,70%,2级,多云,0,0,0,0,0,0,0,0
29℃,70%,3级,多云,0,0,0,0,0,0,0,0
28℃,76%,3级,多云,0,0,0,0,0,0,0,0
27℃,82%,3级,多云,0,0,0,0,0,0,0,0
26℃,87%,3级,多云,21,45,24,78,45,24,401,869
26℃,92%,3级,多云,19,44,23,78,44,23,292,518
25℃,95%,3级,多云,19,44,23,78,44,23,292,518
25℃,95%,3级,多云,17,41,24,75,41,24,329,476
24℃,97%,3级,多云,17,42,23,77,42,23,346,451
24℃,99%,4级,多云,18,42,23,77,42,23,346,451
24℃,100%,3级,多云,17,41,23,76,41,23,364,453
24℃,100%,3级,多云,17,41,24,76,41,24,366,466
23℃,100%,2级,多云,17,41,24,76,41,24,366,466
23℃,100%,3级,多云,17,42,24,73,42,24,370,466
23℃,100%,3级,多云,17,42,24,73,42,24,370,466
23℃,100%,2级,多云,17,42,24,73,42,24,369,436
23℃,100%,2级,多云,18,42,25,73,42,25,243,442
23℃,100%,2级,多云,18,42,25,73,42,25,243,442
23℃,100%,2级,多云,18,43,24,74,43,24,245,444
22℃,100%,0级,多云,17,43,24,74,43,24,255,424
23℃,100%,2级,多云,17,43,24,74,43,24,255,424
22℃,100%,0级,多云,16,43,24,74,43,24,398,407
22℃,100%,0级,多云,18,43,24,73,43,24,242,411
22℃,100%,2级,多云,18,43,24,73,43,24,242,411
22℃,100%,3级,多云,18,43,23,73,43,23,252,402
22℃,100%,2级,阴,18,43,23,73,43,23,252,402
22℃,100%,3级,阴,0,42,0,0,42,0,0,0
22℃,100%,3级,阴,0,0,0,0,0,0,0,0
22℃,100%,2级,阴,0,0,0,0,0,0,0,0
22℃,100%,2级,阴,0,0,0,0,0,0,0,0
23℃,100%,2级,阴,0,0,0,0,0,0,0,0
25℃,89%,3级,阴,0,0,0,0,0,0,0,0
26℃,87%,2级,阴,0,0,0,0,0,0,0,0
27℃,82%,2级,阴,0,0,0,0,0,0,0,0
27℃,80%,2级,阴,0,0,0,0,0,0,0,0
26℃,82%,2级,多云,0,0,0,0,0,0,0,0
26℃,84%,0级,多云,0,0,0,0,0,0,0,0
28℃,76%,3级,多云,0,0,0,0,0,0,0,0
28℃,67%,4级,多云,0,0,0,0,0,0,0,0
28℃,71%,3级,多云,0,0,0,0,0,0,0,0
29℃,68%,3级,多云,0,0,0,0,0,0,0,0
29℃,69%,4级,多云,0,0,0,0,0,0,0,0
29℃,68%,3级,多云,0,0,0,0,0,0,0,0
29℃,68%,3级,多云,0,0,0,0,0,0,0,0
29℃,75%,4级,多云,0,0,0,0,0,0,0,0
29℃,71%,3级,多云,0,0,0,0,0,0,0,0
28℃,79%,4级,多云,0,0,0,0,0,0,0,0
27℃,84%,4级,多云,0,0,0,0,0,0,0,0
27℃,85%,3级,多云,0,0,0,0,0,0,0,0
26℃,89%,4级,多云,0,0,0,0,0,0,0,0
26℃,90%,4级,多云,0,0,0,0,0,0,0,0
26℃,92%,4级,多云,19,45,23,82,45,23,381,787
25℃,93%,3级,多云,19,43,24,76,43,24,351,501
25℃,95%,3级,晴,17,43,24,76,43,24,351,501
24℃,97%,3级,晴,17,44,24,78,44,24,364,462
24℃,98%,4级,晴,17,44,24,75,44,24,367,438
24℃,99%,4级,晴,17,42,24,75,42,24,367,438
24℃,100%,4级,晴,17,43,24,74,43,24,380,417
24℃,100%,3级,晴,16,42,24,71,42,24,379,412
23℃,100%,2级,多云,16,42,24,71,42,24,379,412
23℃,100%,2级,多云,15,43,25,74,43,25,381,401
23℃,100%,2级,多云,15,43,25,74,43,25,381,401
23℃,100%,0级,多云,17,43,25,72,43,25,378,425
23℃,100%,2级,多云,17,43,25,72,43,25,241,424
24℃,100%,2级,多云,17,43,25,72,43,25,241,424
23℃,100%,3级,多云,16,43,26,73,43,26,238,412
23℃,100%,3级,多云,16,43,26,75,43,26,238,412
23℃,100%,2级,多云,16,43,24,75,43,24,242,404
23℃,100%,2级,多云,16,44,26,74,44,26,248,416
23℃,100%,3级,多云,15,44,25,74,44,25,268,398
23℃,100%,2级,多云,15,44,25,74,44,25,268,398
23℃,100%,2级,多云,17,42,25,73,42,25,247,381
22℃,100%,1级,多云,17,42,25,73,42,25,247,381
22℃,100%,2级,多云,0,0,0,0,0,0,0,0
22℃,100%,2级,多云,0,0,0,0,0,0,0,0
23℃,100%,2级,多云,0,0,0,0,0,0,0,0
23℃,100%,2级,多云,0,0,0,0,0,0,0,0
24℃,100%,2级,多云,0,0,0,0,0,0,0,0
24℃,98%,2级,多云,0,0,0,0,0,0,0,0
26℃,86%,2级,多云,0,0,0,0,0,0,0,0
27℃,82%,2级,多云,0,0,0,0,0,0,0,0
29℃,76%,2级,多云,0,0,0,0,0,0,0,0
27℃,81%,2级,多云,0,0,0,0,0,0,0,0
28℃,80%,2级,多云,0,0,0,0,0,0,0,0
28℃,78%,2级,多云,0,0,0,0,0,0,0,0
29℃,75%,2级,多云,0,0,0,0,0,0,0,0
29℃,74%,3级,多云,0,0,0,0,0,0,0,0
29℃,74%,3级,多云,0,0,0,0,0,0,0,0
29℃,73%,3级,多云,0,0,0,0,0,0,0,0
31℃,68%,2级,多云,0,0,0,0,0,0,0,0
31℃,66%,3级,多云,0,0,0,0,0,0,0,0
31℃,69%,2级,多云,0,0,0,0,0,0,0,0
30℃,72%,2级,多云,0,0,0,0,0,0,0,0
31℃,71%,2级,多云,0,0,0,0,0,0,0,0
31℃,72%,2级,多云,0,0,0,0,0,0,0,0
29℃,79%,3级,多云,0,0,0,0,0,0,0,0
29℃,81%,3级,多云,0,0,0,0,0,0,0,0
28℃,83%,3级,多云,0,0,0,0,0,0,0,0
27℃,87%,3级,多云,20,47,25,83,47,25,420,752
27℃,91%,3级,多云,17,44,24,75,44,24,367,480
26℃,91%,3级,晴,17,44,24,75,44,24,367,480
26℃,93%,3级,晴,17,44,24,72,44,24,373,440
25℃,95%,3级,晴,17,44,25,69,44,25,367,409
25℃,96%,3级,晴,17,44,25,69,44,25,367,409
25℃,97%,3级,晴,18,43,24,69,43,24,368,392
24℃,98%,3级,晴,17,44,25,70,44,25,382,389
24℃,99%,3级,多云,17,44,25,70,44,25,382,389
23℃,100%,3级,多云,16,43,24,64,43,24,389,366
24℃,100%,3级,多云,16,43,24,63,43,24,389,366
23℃,100%,0级,多云,15,43,24,65,43,24,392,349
24℃,100%,2级,多云,16,44,25,68,44,25,242,347
24℃,100%,2级,多云,16,44,25,68,44,25,242,347
24℃,100%,2级,多云,17,45,25,72,45,25,241,338
24℃,100%,3级,多云,15,45,25,75,45,25,249,336
24℃,100%,2级,多云,15,45,25,75,45,25,249,336
24℃,100%,2级,多云,15,45,24,72,45,24,242,336
24℃,100%,2级,多云,16,44,24,72,44,24,241,341
24℃,100%,2级,多云,16,44,24,72,44,24,241,341
24℃,100%,2级,多云,15,45,25,70,45,25,318,362
23℃,100%,2级,多云,15,45,25,70,45,25,318,362
24℃,100%,2级,多云,0,45,0,0,45,0,0,0
23℃,100%,1级,多云,0,0,0,0,0,0,0,0
24℃,100%,2级,多云,0,0,0,0,0,0,0,0
25℃,100%,1级,多云,0,0,0,0,0,0,0,0
27℃,92%,2级,多云,0,0,0,0,0,0,0,0
28℃,86%,2级,多云,0,0,0,0,0,0,0,0
29℃,80%,2级,多云,0,0,0,0,0,0,0,0
30℃,77%,1级,多云,0,0,0,0,0,0,0,0
31℃,67%,2级,晴,0,0,0,0,0,0,0,0
31℃,66%,1级,晴,0,0,0,0,0,0,0,0
32℃,66%,3级,多云,0,0,0,0,0,0,0,0
31℃,62%,3级,多云,0,0,0,0,0,0,0,0
31℃,66%,3级,多云,0,0,0,0,0,0,0,0
32℃,65%,3级,多云,0,0,0,0,0,0,0,0
32℃,60%,3级,多云,0,0,0,0,0,0,0,0
32℃,63%,2级,多云,0,0,0,0,0,0,0,0
31℃,67%,2级,多云,0,0,0,0,0,0,0,0
31℃,68%,1级,多云,0,0,0,0,0,0,0,0
31℃,62%,4级,多云,0,0,0,0,0,0,0,0
31℃,62%,4级,多云,0,0,0,0,0,0,0,0
30℃,64%,3级,多云,0,0,0,0,0,0,0,0
30℃,68%,3级,多云,0,0,0,0,0,0,0,0
29℃,71%,3级,多云,0,0,0,0,0,0,0,0
29℃,75%,3级,多云,0,0,0,0,0,0,0,0
28℃,78%,4级,多云,19,47,24,79,47,24,401,679
27℃,82%,3级,多云,16,44,24,73,44,24,368,454
27℃,84%,3级,晴,16,44,25,73,44,25,368,454
26℃,86%,4级,晴,16,44,25,67,44,25,388,415
26℃,89%,4级,晴,16,44,25,66,44,25,389,383
26℃,91%,4级,晴,16,45,25,66,45,25,389,383
25℃,93%,3级,晴,15,44,24,67,44,24,387,367
25℃,96%,3级,晴,15,44,24,66,44,24,392,353
25℃,98%,3级,多云,15,44,24,66,44,24,392,353
24℃,99%,2级,多云,15,46,25,6419,46,25,397,330
24℃,100%,3级,多云,15,46,25,6419,46,25,397,330
24℃,100%,3级,多云,16,45,25,6509,45,25,395,329
24℃,100%,2级,多云,15,45,25,6538,45,25,240,323
23℃,100%,3级,多云,15,45,25,6538,45,25,240,323
23℃,100%,3级,多云,16,45,26,68,45,26,240,319
24℃,100%,3级,多云,16,45,26,66,45,26,240,314
24℃,100%,2级,多云,16,45,26,66,45,26,240,314
23℃,100%,2级,多云,16,45,26,69,45,26,238,307
